"","SubjectID_right_unique","SubjectID_left_unique","SubjectID_left","SubjectID_right","Gender_left","Gender_right","Age_left","Age_right","Image_1","Image_2","Prop_red_image_1","Prop_red_image_2","Prop_yellow_image_1","Prop_yellow_image_2","Prop_green_image_1","Prop_green_image_2","Prop_blue_image_1","Prop_blue_image_2","Response_left","Response_right","Joint_left","Joint_right","Correct_left","Correct_right","Correct_joint","RT_left","RT_right","RT_joint_left","RT_joint_right","Round","Block","group_id","diff","response_right_dummy","response_left_dummy","response_joint_dummy","chosen_leader","Leader_gender","Follower_gender","leader_behavior","Intercept_left","Slope_left","Intercept_right","Slope_right","skill_dif","skill_dif_c","Response_left_abs","Response_right_abs","z_Response_left_abs","z_Response_right_abs","conf_dif","conf_dif_c"
"1","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r16y21g04b04.jpeg","Stim\r15y05g12b10.jpeg",16,15,21,5,4,12,4,10,3,-2,1,0,0,1,0,1.888,1.867,6.121,0,1,"rød","3_1",-1,0,1,1,"Left_lead","Male","Male","stick",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,1.02351086314367,0.0235108631436749,3,2,0.75727357564213,0.316106376724322,1.5,0.5
"2","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r20y14g02b19.jpeg","Stim\r21y01g04b27.jpeg",20,21,14,1,2,4,19,27,2,-1,0,-1,1,0,0,2.142,1.872,0,7.432,1,"rød","3_1",1,0,1,0,"Right_lead","Male","Male","stick",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,0.977029200187029,-0.0229707998129715,2,1,-0.267273026697222,-1.29954843764443,0.5,-0.5
"3","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r09y15g18b07.jpeg","Stim\r06y36g16b14.jpeg",9,6,15,36,18,16,7,14,-2,2,0,-1,1,0,1,1.693,2.856,0,4.031,1,"rød","3_1",-3,1,0,0,"Right_lead","Male","Male","surrender",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,0.977029200187029,-0.0229707998129715,2,2,-0.267273026697222,0.316106376724322,1,0
"4","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r08y23g10b29.jpeg","Stim\r10y02g36b05.jpeg",8,10,23,2,10,36,29,5,2,-1,-1,0,1,0,0,2.192,2.055,1.961,0,1,"rød","3_1",2,0,1,0,"Left_lead","Male","Male","surrender",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,1.02351086314367,0.0235108631436749,2,1,-0.267273026697222,-1.29954843764443,2,1
"5","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r11y26g25b38.jpeg","Stim\r15y16g12b03.jpeg",11,15,26,16,25,12,38,3,3,-2,0,-1,1,0,0,2.409,1.473,0,4.129,1,"rød","3_1",4,0,1,0,"Right_lead","Male","Male","stick",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,0.977029200187029,-0.0229707998129715,3,2,0.75727357564213,0.316106376724322,0.666666666666667,-0.333333333333333
"6","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r11y14g08b23.jpeg","Stim\r08y23g10b29.jpeg",11,8,14,23,8,10,23,29,-2,1,0,-1,1,0,1,2.381,1.775,0,4.168,1,"rød","3_1",-3,1,0,0,"Right_lead","Male","Male","surrender",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,0.977029200187029,-0.0229707998129715,2,1,-0.267273026697222,-1.29954843764443,0.5,-0.5
"7","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r07y02g03b06.jpeg","Stim\r14y12g04b29.jpeg",7,14,2,12,3,4,6,29,-2,2,1,0,0,1,1,1.989,2.701,4.514,0,1,"rød","3_1",7,1,0,1,"Left_lead","Male","Male","surrender",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,1.02351086314367,0.0235108631436749,2,2,-0.267273026697222,0.316106376724322,1,0
"8","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r13y33g08b23.jpeg","Stim\r11y13g22b35.jpeg",13,11,33,13,8,22,23,35,2,-1,1,0,0,1,0,1.078,1.825,1.666,0,1,"rød","3_1",-2,0,1,1,"Left_lead","Male","Male","stick",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,1.02351086314367,0.0235108631436749,2,1,-0.267273026697222,-1.29954843764443,2,1
"9","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r07y14g27b22.jpeg","Stim\r09y06g26b32.jpeg",7,9,14,6,27,26,22,32,2,-2,0,-1,1,0,0,1.699,1.592,0,2.427,1,"rød","3_1",2,0,1,0,"Right_lead","Male","Male","stick",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,0.977029200187029,-0.0229707998129715,2,2,-0.267273026697222,0.316106376724322,1,0
"10","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r08y09g09b11.jpeg","Stim\r09y06g26b32.jpeg",8,9,9,6,9,26,11,32,2,-2,-1,0,1,0,0,1.457,1.707,1.951,0,1,"rød","3_1",1,0,1,0,"Left_lead","Male","Male","surrender",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,1.02351086314367,0.0235108631436749,2,2,-0.267273026697222,0.316106376724322,1,0
"11","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r14y12g04b29.jpeg","Stim\r13y33g08b23.jpeg",14,13,12,33,4,8,29,23,2,-2,-1,0,0,1,1,1.322,1.768,3.525,0,1,"rød","3_1",-1,0,1,0,"Left_lead","Male","Male","surrender",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,1.02351086314367,0.0235108631436749,2,2,-0.267273026697222,0.316106376724322,1,0
"12","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r22y35g09b11.jpeg","Stim\r18y19g14b27.jpeg",22,18,35,19,9,14,11,27,-2,2,0,1,1,0,0,1.011,1.543,0,2.397,1,"rød","3_1",-4,1,0,1,"Right_lead","Male","Male","stick",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,0.977029200187029,-0.0229707998129715,2,2,-0.267273026697222,0.316106376724322,1,0
"13","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r21y03g15b37.jpeg","Stim\r18y13g28b06.jpeg",21,18,3,13,15,28,37,6,3,-2,1,0,0,1,0,1.607,1.42,1.824,0,1,"rød","3_1",-3,0,1,1,"Left_lead","Male","Male","stick",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,1.02351086314367,0.0235108631436749,3,2,0.75727357564213,0.316106376724322,1.5,0.5
"14","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r18y19g14b27.jpeg","Stim\r19y10g06b15.jpeg",18,19,19,10,14,6,27,15,1,-2,-1,0,1,0,0,1.577,0.94,1.044,0,1,"rød","3_1",1,0,1,0,"Left_lead","Male","Male","surrender",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,1.02351086314367,0.0235108631436749,1,2,-1.29181962903657,0.316106376724322,0.5,-0.5
"15","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r14y08g21b39.jpeg","Stim\r12y12g14b26.jpeg",14,12,8,12,21,14,39,26,2,-2,-1,0,0,1,1,2.765,1.178,1.33,0,1,"rød","3_1",-2,0,1,0,"Left_lead","Male","Male","surrender",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,1.02351086314367,0.0235108631436749,2,2,-0.267273026697222,0.316106376724322,1,0
"16","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r03y03g02b05.jpeg","Stim\r04y28g27b06.jpeg",3,4,3,28,2,27,5,6,4,-2,1,0,1,0,1,1.327,1.206,1.14,0,1,"rød","3_1",1,0,1,1,"Left_lead","Male","Male","stick",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,1.02351086314367,0.0235108631436749,4,2,1.78182017798148,0.316106376724322,2,1
"17","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r12y09g30b18.jpeg","Stim\r20y14g02b19.jpeg",12,20,9,14,30,2,18,19,3,-2,0,1,1,0,1,1.325,1.271,0,1.764,1,"blå","3_1",1,0,1,1,"Right_lead","Male","Male","surrender",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,0.977029200187029,-0.0229707998129715,3,2,0.75727357564213,0.316106376724322,0.666666666666667,-0.333333333333333
"18","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r12y07g07b17.jpeg","Stim\r09y17g32b21.jpeg",12,9,7,17,7,32,17,21,-2,3,1,0,0,1,1,2.47,3.249,1.474,0,1,"blå","3_1",4,1,0,1,"Left_lead","Male","Male","surrender",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,1.02351086314367,0.0235108631436749,2,3,-0.267273026697222,1.93176119109308,0.666666666666667,-0.333333333333333
"19","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r21y31g06b08.jpeg","Stim\r22y35g09b11.jpeg",21,22,31,35,6,9,8,11,4,-2,1,0,1,0,1,1.193,1.087,1.563,0,1,"blå","3_1",3,0,1,1,"Left_lead","Male","Male","stick",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,1.02351086314367,0.0235108631436749,4,2,1.78182017798148,0.316106376724322,2,1
"20","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r13y33g08b23.jpeg","Stim\r17y22g16b15.jpeg",13,17,33,22,8,16,23,15,-1,2,1,0,1,0,0,2.316,3.728,1.064,0,1,"blå","3_1",-8,1,0,1,"Left_lead","Male","Male","surrender",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,1.02351086314367,0.0235108631436749,1,2,-1.29181962903657,0.316106376724322,0.5,-0.5
"21","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r11y10g06b19.jpeg","Stim\r09y17g32b21.jpeg",11,9,10,17,6,32,19,21,4,-2,1,0,1,0,1,1.103,0.949,1.025,0,1,"blå","3_1",2,0,1,1,"Left_lead","Male","Male","stick",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,1.02351086314367,0.0235108631436749,4,2,1.78182017798148,0.316106376724322,2,1
"22","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r10y02g36b05.jpeg","Stim\r21y31g06b08.jpeg",10,21,2,31,36,6,5,8,2,-2,-1,0,1,0,0,1.329,1.975,3.581,0,1,"blå","3_1",3,0,1,0,"Left_lead","Male","Male","surrender",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,1.02351086314367,0.0235108631436749,2,2,-0.267273026697222,0.316106376724322,1,0
"23","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r09y06g26b32.jpeg","Stim\r03y11g01b26.jpeg",9,3,6,11,26,1,32,26,3,-2,1,0,0,1,0,1.549,2.378,1.316,0,1,"blå","3_1",-6,0,1,1,"Left_lead","Male","Male","stick",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,1.02351086314367,0.0235108631436749,3,2,0.75727357564213,0.316106376724322,1.5,0.5
"24","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r09y17g32b21.jpeg","Stim\r20y14g02b19.jpeg",9,20,17,14,32,2,21,19,-3,1,-1,0,1,0,1,1.293,1.823,1.035,0,1,"blå","3_1",-2,1,0,0,"Left_lead","Male","Male","stick",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,1.02351086314367,0.0235108631436749,3,1,0.75727357564213,-1.29954843764443,3,2
"25","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r03y06g12b09.jpeg","Stim\r16y09g06b10.jpeg",3,16,6,9,12,6,9,10,-1,3,0,-1,0,1,0,1.07,1.38,0,5.163,1,"blå","3_1",1,1,0,0,"Right_lead","Male","Male","surrender",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,0.977029200187029,-0.0229707998129715,1,3,-1.29181962903657,1.93176119109308,3,2
"26","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r10y27g22b14.jpeg","Stim\r22y35g09b11.jpeg",10,22,27,35,22,9,14,11,2,-2,0,-1,0,1,1,1.15,2.212,0,4.827,1,"blå","3_1",-3,0,1,0,"Right_lead","Male","Male","stick",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,0.977029200187029,-0.0229707998129715,2,2,-0.267273026697222,0.316106376724322,1,0
"27","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r10y03g03b07.jpeg","Stim\r08y09g09b11.jpeg",10,8,3,9,3,9,7,11,-1,2,0,1,0,1,1,2.094,1.491,0,2.682,1,"blå","3_1",4,1,0,1,"Right_lead","Male","Male","stick",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,0.977029200187029,-0.0229707998129715,1,2,-1.29181962903657,0.316106376724322,2,1
"28","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r14y08g21b39.jpeg","Stim\r05y28g23b30.jpeg",14,5,8,28,21,23,39,30,2,-3,0,-1,0,1,1,1.401,1.326,0,2.181,1,"blå","3_1",-9,0,1,0,"Right_lead","Male","Male","stick",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,0.977029200187029,-0.0229707998129715,2,3,-0.267273026697222,1.93176119109308,1.5,0.5
"29","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r12y07g16b25.jpeg","Stim\r14y12g04b29.jpeg",12,14,7,12,16,4,25,29,4,-2,0,1,1,0,1,1.249,3.545,0,1.554,1,"blå","3_1",4,0,1,1,"Right_lead","Male","Male","surrender",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,0.977029200187029,-0.0229707998129715,4,2,1.78182017798148,0.316106376724322,0.5,-0.5
"30","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r16y09g06b10.jpeg","Stim\r21y31g06b08.jpeg",16,21,9,31,6,6,10,8,1,-2,-1,0,0,1,1,0.987,1.214,1.848,0,1,"blå","3_1",-2,0,1,0,"Left_lead","Male","Male","surrender",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,1.02351086314367,0.0235108631436749,1,2,-1.29181962903657,0.316106376724322,0.5,-0.5
"31","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r06y14g31b25.jpeg","Stim\r09y15g18b07.jpeg",6,9,14,15,31,18,25,7,3,-1,1,0,1,0,1,1.654,2.367,1,0,1,"gul","3_1",1,0,1,1,"Left_lead","Male","Male","stick",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,1.02351086314367,0.0235108631436749,3,1,0.75727357564213,-1.29954843764443,3,2
"32","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r06y19g29b08.jpeg","Stim\r22y23g20b06.jpeg",6,22,19,23,29,20,8,6,2,-3,-1,0,1,0,0,1.066,1.379,1.032,0,1,"gul","3_1",4,0,1,0,"Left_lead","Male","Male","surrender",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,1.02351086314367,0.0235108631436749,2,3,-0.267273026697222,1.93176119109308,0.666666666666667,-0.333333333333333
"33","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r08y23g10b29.jpeg","Stim\r07y14g27b22.jpeg",8,7,23,14,10,27,29,22,2,-1,0,1,0,1,0,1.37,1.299,0,3.06,1,"gul","3_1",-9,0,1,1,"Right_lead","Male","Male","surrender",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,0.977029200187029,-0.0229707998129715,2,1,-0.267273026697222,-1.29954843764443,0.5,-0.5
"34","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r09y15g18b07.jpeg","Stim\r12y07g07b17.jpeg",9,12,15,7,18,7,7,17,-2,2,0,1,1,0,0,1.208,2.054,0,4.292,1,"gul","3_1",-8,1,0,1,"Right_lead","Male","Male","stick",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,0.977029200187029,-0.0229707998129715,2,2,-0.267273026697222,0.316106376724322,1,0
"35","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r19y10g06b15.jpeg","Stim\r14y08g21b39.jpeg",19,14,10,8,6,21,15,39,-1,1,0,-1,1,0,1,1.079,1.874,0,3.743,1,"gul","3_1",-2,1,0,0,"Right_lead","Male","Male","surrender",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,0.977029200187029,-0.0229707998129715,1,1,-1.29181962903657,-1.29954843764443,1,0
"36","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r04y39g24b15.jpeg","Stim\r13y33g08b23.jpeg",4,13,39,33,24,8,15,23,-4,3,-1,0,1,0,1,1.042,1.554,4.111,0,1,"gul","3_1",-6,1,0,0,"Left_lead","Male","Male","stick",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,1.02351086314367,0.0235108631436749,4,3,1.78182017798148,1.93176119109308,1.33333333333333,0.333333333333333
"37","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r09y02g05b02.jpeg","Stim\r03y06g12b09.jpeg",9,3,2,6,5,12,2,9,-1,1,1,0,0,1,1,1.305,1.334,1.346,0,1,"gul","3_1",4,1,0,1,"Left_lead","Male","Male","surrender",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,1.02351086314367,0.0235108631436749,1,1,-1.29181962903657,-1.29954843764443,1,0
"38","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r11y10g06b19.jpeg","Stim\r05y09g02b34.jpeg",11,5,10,9,6,2,19,34,-2,1,-1,0,1,0,1,1.349,1.844,1.659,0,1,"grøn","3_1",-4,1,0,0,"Left_lead","Male","Male","stick",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,1.02351086314367,0.0235108631436749,2,1,-0.267273026697222,-1.29954843764443,2,1
"39","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r20y14g02b19.jpeg","Stim\r07y02g03b06.jpeg",20,7,14,2,2,3,19,6,-1,2,0,1,0,1,1,0.946,1.392,0,3.265,1,"grøn","3_1",1,1,0,1,"Right_lead","Male","Male","stick",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,0.977029200187029,-0.0229707998129715,1,2,-1.29181962903657,0.316106376724322,2,1
"40","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r09y15g18b07.jpeg","Stim\r03y06g12b09.jpeg",9,3,15,6,18,12,7,9,-4,1,0,-1,1,0,1,1.008,0.854,0,1.531,1,"grøn","3_1",-6,1,0,0,"Right_lead","Male","Male","surrender",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,0.977029200187029,-0.0229707998129715,4,1,1.78182017798148,-1.29954843764443,0.25,-0.75
"41","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r15y05g12b10.jpeg","Stim\r08y23g10b29.jpeg",15,8,5,23,12,10,10,29,-3,2,-1,0,1,0,1,1.011,1.223,1.38,0,1,"grøn","3_1",-2,1,0,0,"Left_lead","Male","Male","stick",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,1.02351086314367,0.0235108631436749,3,2,0.75727357564213,0.316106376724322,1.5,0.5
"42","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r19y10g06b15.jpeg","Stim\r10y13g07b36.jpeg",19,10,10,13,6,7,15,36,-1,2,0,1,0,1,1,1.203,1.201,0,3.777,1,"grøn","3_1",1,1,0,1,"Right_lead","Male","Male","stick",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,0.977029200187029,-0.0229707998129715,1,2,-1.29181962903657,0.316106376724322,2,1
"43","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r13y33g08b23.jpeg","Stim\r06y36g16b14.jpeg",13,6,33,36,8,16,23,14,-1,1,0,-1,0,1,0,2.091,2.021,0,3.893,1,"grøn","3_1",8,1,0,0,"Right_lead","Male","Male","surrender",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,0.977029200187029,-0.0229707998129715,1,1,-1.29181962903657,-1.29954843764443,1,0
"44","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r16y21g04b04.jpeg","Stim\r11y10g06b19.jpeg",16,11,21,10,4,6,4,19,-2,2,0,-1,0,1,0,1.27,1.25,0,3.656,1,"grøn","3_1",2,1,0,0,"Right_lead","Male","Male","surrender",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,0.977029200187029,-0.0229707998129715,2,2,-0.267273026697222,0.316106376724322,1,0
"45","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r07y06g08b05.jpeg","Stim\r16y09g06b10.jpeg",7,16,6,9,8,6,5,10,-4,1,-1,0,1,0,1,1.435,2.048,0.868,0,1,"grøn","3_1",-2,1,0,0,"Left_lead","Male","Male","stick",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,1.02351086314367,0.0235108631436749,4,1,1.78182017798148,-1.29954843764443,4,3
"46","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r02y19g24b04.jpeg","Stim\r10y27g22b14.jpeg",2,10,19,27,24,22,4,14,-2,1,0,-1,1,0,1,1.173,1.483,0,3.596,1,"grøn","3_1",-2,1,0,0,"Right_lead","Male","Male","surrender",0.324012494989064,0.201752410100406,0.260050077871379,0.197117995876205,0.977029200187029,-0.0229707998129715,2,1,-0.267273026697222,-1.29954843764443,0.5,-0.5
"47","1_2","4_2","4",1,"Female","Male",23,23,"Stim\r21y31g06b08.jpeg","Stim\r20y14g02b19.jpeg",21,20,31,14,6,2,8,19,3,-3,0,1,0,1,0,1.192,3.086,0,3.017,2,"rød","4_1",-1,0,1,1,"Right_lead","Male","Female","surrender",0.289278129951893,0.218157873900937,0.274240751420958,0.201190909959052,0.922226213344979,-0.0777737866550214,3,3,0.886639741360465,0.92951600308978,1,0
"48","1_2","4_2","4",1,"Female","Male",23,23,"Stim\r14y10g15b15.jpeg","Stim\r21y24g16b04.jpeg",14,21,10,24,15,16,15,4,2,-2,0,-1,1,0,0,1.523,1.554,0,2.404,2,"rød","4_1",7,0,1,0,"Right_lead","Male","Female","stick",0.289278129951893,0.218157873900937,0.274240751420958,0.201190909959052,0.922226213344979,-0.0777737866550214,2,2,-0.0770991079443883,-0.619677335393187,1,0
"49","1_2","4_2","4",1,"Female","Male",23,23,"Stim\r10y27g22b14.jpeg","Stim\r13y33g08b23.jpeg",10,13,27,33,22,8,14,23,3,-2,1,0,1,0,1,2.001,1.847,2.105,0,2,"rød","4_1",3,0,1,1,"Left_lead","Female","Male","stick",0.289278129951893,0.218157873900937,0.274240751420958,0.201190909959052,1.0843326567057,0.0843326567057019,3,2,0.886639741360465,-0.619677335393187,1.5,0.5
"50","1_2","4_2","4",1,"Female","Male",23,23,"Stim\r13y24g05b28.jpeg","Stim\r14y10g15b15.jpeg",13,14,24,10,5,15,28,15,4,-2,0,1,1,0,1,1.537,1.95,0,1.34,2,"rød","4_1",1,0,1,1,"Right_lead","Male","Female","surrender",0.289278129951893,0.218157873900937,0.274240751420958,0.201190909959052,0.922226213344979,-0.0777737866550214,4,2,1.85037859066532,-0.619677335393187,0.5,-0.5
"51","1_2","4_2","4",1,"Female","Male",23,23,"Stim\r05y40g33b16.jpeg","Stim\r04y16g13b13.jpeg",5,4,40,16,33,13,16,13,2,-1,1,0,0,1,0,1.47,2.899,3.892,0,2,"rød","4_1",-1,0,1,1,"Left_lead","Female","Male","stick",0.289278129951893,0.218157873900937,0.274240751420958,0.201190909959052,1.0843326567057,0.0843326567057019,2,1,-0.0770991079443883,-2.16887067387615,2,1
"52","1_2","4_2","4",1,"Female","Male",23,23,"Stim\r11y14g08b23.jpeg","Stim\r09y15g18b07.jpeg",11,9,14,15,8,18,23,7,-2,2,-1,0,1,0,1,1.539,2.302,3.311,0,2,"rød","4_1",-2,1,0,0,"Left_lead","Female","Male","stick",0.289278129951893,0.218157873900937,0.274240751420958,0.201190909959052,1.0843326567057,0.0843326567057019,2,2,-0.0770991079443883,-0.619677335393187,1,0
"53","1_2","4_2","4",1,"Female","Male",23,23,"Stim\r20y04g39b23.jpeg","Stim\r14y10g15b15.jpeg",20,14,4,10,39,15,23,15,-1,3,0,1,1,0,0,1.342,1.971,0,2.794,2,"rød","4_1",-6,1,0,1,"Right_lead","Male","Female","stick",0.289278129951893,0.218157873900937,0.274240751420958,0.201190909959052,0.922226213344979,-0.0777737866550214,1,3,-1.04083795724924,0.92951600308978,3,2
"54","1_2","4_2","4",1,"Female","Male",23,23,"Stim\r10y07g11b10.jpeg","Stim\r10y03g03b07.jpeg",10,10,7,3,11,3,10,7,-2,3,1,0,1,0,0,1.933,2.262,3.532,0,2,"blå","4_1",-3,1,0,1,"Left_lead","Female","Male","surrender",0.289278129951893,0.218157873900937,0.274240751420958,0.201190909959052,1.0843326567057,0.0843326567057019,2,3,-0.0770991079443883,0.92951600308978,0.666666666666667,-0.333333333333333
"55","1_2","4_2","4",1,"Female","Male",23,23,"Stim\r21y01g04b27.jpeg","Stim\r15y17g24b30.jpeg",21,15,1,17,4,24,27,30,1,-3,-1,0,1,0,0,1.821,1.85,5.512,0,2,"blå","4_1",3,0,1,0,"Left_lead","Female","Male","surrender",0.289278129951893,0.218157873900937,0.274240751420958,0.201190909959052,1.0843326567057,0.0843326567057019,1,3,-1.04083795724924,0.92951600308978,0.333333333333333,-0.666666666666667
"56","1_2","4_2","4",1,"Female","Male",23,23,"Stim\r13y33g08b23.jpeg","Stim\r03y11g01b26.jpeg",13,3,33,11,8,1,23,26,2,-3,0,1,1,0,1,1.247,2.593,0,2.376,2,"blå","4_1",3,0,1,1,"Right_lead","Male","Female","surrender",0.289278129951893,0.218157873900937,0.274240751420958,0.201190909959052,0.922226213344979,-0.0777737866550214,2,3,-0.0770991079443883,0.92951600308978,1.5,0.5
"57","1_2","4_2","4",1,"Female","Male",23,23,"Stim\r12y09g30b18.jpeg","Stim\r11y10g06b19.jpeg",12,11,9,10,30,6,18,19,4,-3,1,0,1,0,1,1.703,1.506,1.51,0,2,"blå","4_1",1,0,1,1,"Left_lead","Female","Male","stick",0.289278129951893,0.218157873900937,0.274240751420958,0.201190909959052,1.0843326567057,0.0843326567057019,4,3,1.85037859066532,0.92951600308978,1.33333333333333,0.333333333333333
"58","1_2","4_2","4",1,"Female","Male",23,23,"Stim\r22y23g20b06.jpeg","Stim\r16y09g06b10.jpeg",22,16,23,9,20,6,6,10,1,-3,0,-1,1,0,0,2.035,2.115,0,2.215,2,"blå","4_1",4,0,1,0,"Right_lead","Male","Female","stick",0.289278129951893,0.218157873900937,0.274240751420958,0.201190909959052,0.922226213344979,-0.0777737866550214,1,3,-1.04083795724924,0.92951600308978,3,2
"59","1_2","4_2","4",1,"Female","Male",23,23,"Stim\r22y35g09b11.jpeg","Stim\r13y33g08b23.jpeg",22,13,35,33,9,8,11,23,-1,2,1,0,1,0,0,2.159,1.371,4.01,0,2,"gul","4_1",-2,1,0,1,"Left_lead","Female","Male","surrender",0.289278129951893,0.218157873900937,0.274240751420958,0.201190909959052,1.0843326567057,0.0843326567057019,1,2,-1.04083795724924,-0.619677335393187,0.5,-0.5
"60","1_2","4_2","4",1,"Female","Male",23,23,"Stim\r09y17g32b21.jpeg","Stim\r13y21g23b09.jpeg",9,13,17,21,32,23,21,9,-4,3,0,-1,0,1,0,2.293,1.472,0,1.642,2,"gul","4_1",4,1,0,0,"Right_lead","Male","Female","surrender",0.289278129951893,0.218157873900937,0.274240751420958,0.201190909959052,0.922226213344979,-0.0777737866550214,4,3,1.85037859066532,0.92951600308978,0.75,-0.25
"61","1_2","4_2","4",1,"Female","Male",23,23,"Stim\r09y15g18b07.jpeg","Stim\r17y12g19b18.jpeg",9,17,15,12,18,19,7,18,-2,2,-1,0,1,0,1,1.804,4.033,4.565,0,2,"gul","4_1",-3,1,0,0,"Left_lead","Female","Male","stick",0.289278129951893,0.218157873900937,0.274240751420958,0.201190909959052,1.0843326567057,0.0843326567057019,2,2,-0.0770991079443883,-0.619677335393187,1,0
